wp_id,x,y,z,yaw,velocity,change_flag
0,9424.0930,9894.7469,35.3518,-1.6900,0,0
1,9423.9925,9893.7261,35.3211,-1.6617,7.7171,0
2,9423.9054,9892.7130,35.3192,-1.6343,9.4232,0
3,9423.8649,9891.6769,35.3543,-1.6001,10.2259,0
4,9423.8578,9890.6237,35.3559,-1.5631,10.8718,0
5,9423.8907,9889.6235,35.3507,-1.5335,11.6556,0
6,9423.9473,9888.6157,35.3467,-1.5041,12.6026,0
7,9424.0339,9887.5983,35.3185,-1.4740,13.7674,0
8,9424.1709,9886.5709,35.2964,-1.4484,14.9173,0
9,9424.3060,9885.5504,35.2906,-1.4235,15.9408,0
10,9424.4884,9884.4727,35.2486,-1.4095,16.8834,0
11,9424.6763,9883.4373,35.2401,-1.4066,17.5903,0
12,9424.8614,9882.3510,35.2401,-1.4111,18.4606,0
13,9425.0262,9881.3149,35.2067,-1.4158,19.3003,0
14,9425.1978,9880.2374,35.1968,-1.4210,20.0046,0
15,9425.3563,9879.2308,35.1898,-1.4251,20.7249,0
16,9425.5051,9878.1848,35.1639,-1.4330,21.4577,0
17,9425.6540,9877.1063,35.1497,-1.4564,22.0357,0
18,9425.7874,9875.9950,35.1584,-1.4901,22.6453,0
19,9425.8655,9874.9764,35.1479,-1.5221,23.2396,0
20,9425.9111,9873.9304,35.1312,-1.5564,23.8010,0
21,9425.9257,9872.8587,35.1304,-1.5901,24.3618,0
22,9425.8987,9871.7600,35.1341,-1.6207,24.9688,0
23,9425.8376,9870.6339,35.1282,-1.6488,25.6578,0
24,9425.7618,9869.6244,35.1188,-1.6697,26.2644,0
25,9425.6610,9868.5928,35.1041,-1.6850,26.9145,0
26,9425.5407,9867.5402,35.0892,-1.6948,27.4401,0
27,9425.4134,9866.4687,35.0854,-1.7012,27.9399,0
28,9425.2728,9865.3785,35.0864,-1.7008,28.4793,0
29,9425.1292,9864.2676,35.0833,-1.6934,28.9973,0
30,9424.9981,9863.1354,35.0775,-1.6839,29.4655,0
31,9424.8732,9861.9826,35.0677,-1.6715,30.0386,0
32,9424.7772,9860.9758,35.0547,-1.6622,30.5234,0
33,9424.6874,9859.9547,35.0563,-1.6525,30.9073,0
34,9424.6073,9858.9181,35.0749,-1.6454,31.3606,0
35,9424.5349,9857.8646,35.0795,-1.6410,31.8540,0
36,9424.4669,9856.7953,35.0631,-1.6383,32.3321,0
37,9424.3993,9855.7098,35.0337,-1.6368,32.8245,0
38,9424.3312,9854.6093,35.0152,-1.6355,33.2185,0
39,9424.2634,9853.4966,35.0250,-1.6338,33.6009,0
40,9424.1959,9852.3699,35.0356,-1.6320,34.0370,0
41,9424.1282,9851.2291,35.0270,-1.6291,34.4257,0
42,9424.0666,9850.0743,35.0074,-1.6256,34.8707,0
43,9424.0101,9848.9042,34.9836,-1.6224,35.3187,0
44,9423.9551,9847.7206,34.9810,-1.6162,35.7126,0
45,9423.9043,9846.5231,34.9947,-1.6075,36.1378,0
46,9423.8703,9845.5138,34.9976,-1.5999,36.5113,0
47,9423.8445,9844.4941,34.9863,-1.5921,36.8624,0
48,9423.8273,9843.4648,34.9681,-1.5839,37.1872,0
49,9423.8209,9842.4260,34.9535,-1.5758,37.5292,0
50,9423.8235,9841.3775,34.9449,-1.5674,37.8801,0
51,9423.8340,9840.3198,34.9447,-1.5593,38.2251,0
52,9423.8529,9839.2526,34.9470,-1.5518,38.5805,0
53,9423.8795,9838.1757,34.9432,-1.5444,38.9503,0
54,9423.9146,9837.0894,34.9292,-1.5379,39.2855,0
55,9423.9576,9835.9944,34.9125,-1.5316,39.6210,0
56,9424.0080,9834.8903,34.9012,-1.5256,39.9464,0
57,9424.0661,9833.7784,34.8988,-1.5198,40.1980,0
58,9424.1312,9832.6614,34.9039,-1.5137,40.3511,0
59,9424.2030,9831.5410,34.9088,-1.5068,40.4685,0
60,9424.2817,9830.4189,34.9086,-1.4989,40.5408,0
61,9424.3695,9829.2953,34.9020,-1.4907,40.6059,0
62,9424.4670,9828.1709,34.8925,-1.4828,40.6608,0
63,9424.5741,9827.0461,34.8846,-1.4756,40.6821,0
64,9424.6901,9825.9213,34.8798,-1.4694,40.7153,0
65,9424.8125,9824.7971,34.8779,-1.4631,40.7119,0
66,9424.9411,9823.6736,34.8766,-1.4567,40.7242,0
67,9425.0774,9822.5510,34.8729,-1.4506,40.7140,0
68,9425.2198,9821.4291,34.8634,-1.4449,40.7273,0
69,9425.3678,9820.3078,34.8485,-1.4391,40.7253,0
70,9425.5228,9819.1874,34.8351,-1.4328,40.7221,0
71,9425.6851,9818.0679,34.8281,-1.4262,40.7270,0
72,9425.8547,9816.9500,34.8291,-1.4198,40.7158,0
73,9426.0318,9815.8334,34.8317,-1.4138,40.7098,0
74,9426.2144,9814.7179,34.8309,-1.4071,40.7063,0
75,9426.4057,9813.6043,34.8236,-1.4001,40.6846,0
76,9426.6042,9812.4919,34.8118,-1.3930,40.6781,0
77,9426.8112,9811.3816,34.8070,-1.3863,40.6623,0
78,9427.0268,9810.2732,34.8094,-1.3789,40.6639,0
79,9427.2497,9809.1660,34.8128,-1.3708,40.6870,0
80,9427.4802,9808.0603,34.8117,-1.3619,40.6852,0
81,9427.7204,9806.9563,34.8049,-1.3530,40.6853,0
82,9427.9715,9805.8547,34.7952,-1.3444,40.6923,0
83,9428.2336,9804.7555,34.7873,-1.3368,40.6927,0
84,9428.5043,9803.6582,34.7834,-1.3297,40.7131,0
85,9428.7821,9802.5624,34.7827,-1.3225,40.7103,0
86,9429.0665,9801.4680,34.7808,-1.3158,40.7380,0
87,9429.3585,9800.3753,34.7758,-1.3099,40.7260,0
88,9429.6578,9799.2845,34.7697,-1.3047,40.7204,0
89,9429.9635,9798.1955,34.7649,-1.3000,40.7255,0
90,9430.2738,9797.1079,34.7641,-1.2954,40.7155,0
91,9430.5884,9796.0218,34.7660,-1.2906,40.7203,0
92,9430.9071,9794.9371,34.7680,-1.2857,40.7024,0
93,9431.2298,9793.8544,34.7679,-1.2792,40.6636,0
94,9431.5624,9792.7746,34.7618,-1.2731,40.6777,0
95,9431.9029,9791.6976,34.7583,-1.2671,40.6376,0
96,9432.2511,9790.6241,34.7670,-1.2607,40.6026,0
97,9432.6042,9789.5530,34.7816,-1.2526,40.5602,0
98,9432.9648,9788.4844,34.7923,-1.2438,40.5916,0
99,9433.3337,9787.4183,34.7917,-1.2345,40.5999,0
100,9433.7144,9786.3558,34.7844,-1.2256,40.6270,0
101,9434.1058,9785.2963,34.7750,-1.2164,40.6502,0
102,9434.5067,9784.2396,34.7675,-1.2066,40.6840,0
103,9434.9172,9783.1860,34.7597,-1.1959,40.6915,0
104,9435.3412,9782.1372,34.7483,-1.1873,40.7301,0
105,9435.7753,9781.0924,34.7368,-1.1796,40.7193,0
106,9436.2164,9780.0509,34.7344,-1.1723,40.6997,0
107,9436.6655,9779.0140,34.7371,-1.1657,40.6583,0
108,9437.1207,9777.9804,34.7364,-1.1600,40.6361,0
109,9437.5810,9776.9495,34.7304,-1.1555,40.6172,0
110,9438.0456,9775.9214,34.7266,-1.1523,40.5916,0
111,9438.5128,9774.8953,34.7275,-1.1499,40.5716,0
112,9438.9814,9773.8705,34.7308,-1.1483,40.5653,0
113,9439.4501,9772.8461,34.7328,-1.1475,40.5471,0
114,9439.9201,9771.8228,34.7304,-1.1482,40.5319,0
115,9440.3904,9770.7996,34.7226,-1.1499,40.5188,0
116,9440.8597,9769.7756,34.7131,-1.1523,40.5306,0
117,9441.3271,9768.7510,34.7066,-1.1554,40.5029,0
118,9441.7909,9767.7252,34.7052,-1.1585,40.5024,0
119,9442.2506,9766.6978,34.7048,-1.1611,40.5098,0
120,9442.7074,9765.6688,34.7027,-1.1633,40.5187,0
121,9443.1624,9764.6388,34.6971,-1.1657,40.5072,0
122,9443.6160,9763.6078,34.6907,-1.1680,40.5094,0
123,9444.0676,9762.5760,34.6859,-1.1699,40.5219,0
124,9444.5169,9761.5428,34.6840,-1.1712,40.5257,0
125,9444.9643,9760.5081,34.6836,-1.1718,40.5320,0
126,9445.4100,9759.4726,34.6825,-1.1714,40.5295,0
127,9445.8557,9758.4371,34.6799,-1.1703,40.5448,0
128,9446.3024,9757.4020,34.6760,-1.1686,40.5341,0
129,9446.7508,9756.3677,34.6718,-1.1664,40.5296,0
130,9447.2013,9755.3342,34.6680,-1.1634,40.5345,0
131,9447.6553,9754.3025,34.6643,-1.1602,40.5326,0
132,9448.1129,9753.2724,34.6616,-1.1571,40.5287,0
133,9448.5745,9752.2444,34.6595,-1.1543,40.5305,0
134,9449.0379,9751.2171,34.6576,-1.1512,40.5204,0
135,9449.5036,9750.1912,34.6548,-1.1482,40.5307,0
136,9449.9722,9749.1666,34.6503,-1.1451,40.5188,0
137,9450.4446,9748.1440,34.6468,-1.1425,40.5081,0
138,9450.9204,9747.1234,34.6457,-1.1403,40.4984,0
139,9451.3990,9746.1044,34.6473,-1.1383,40.4969,0
140,9451.8792,9745.0865,34.6492,-1.1364,40.4878,0
141,9452.3613,9744.0697,34.6499,-1.1345,40.4858,0
142,9452.8447,9743.0536,34.6498,-1.1329,40.4762,0
143,9453.3299,9742.0388,34.6491,-1.1315,40.4575,0
144,9453.8164,9741.0246,34.6485,-1.1308,40.4629,0
145,9454.3033,9740.0111,34.6470,-1.1307,40.4600,0
146,9454.7903,9738.9977,34.6447,-1.1313,40.4572,0
147,9455.2764,9737.9840,34.6409,-1.1326,40.4497,0
148,9455.7614,9736.9696,34.6361,-1.1352,40.4639,0
149,9456.2439,9735.9541,34.6299,-1.1383,40.4603,0
150,9456.7230,9734.9369,34.6232,-1.1422,40.4626,0
151,9457.1980,9733.9178,34.6154,-1.1461,40.4608,0
152,9457.6686,9732.8969,34.6087,-1.1501,40.4495,0
153,9458.1352,9731.8755,34.6040,-1.1539,40.3851,0
154,9458.5961,9730.8537,34.6010,-1.1575,40.3189,0
155,9459.0477,9729.8360,34.6020,-1.1610,40.0258,0
156,9459.4909,9728.8272,34.6064,-1.1642,39.4713,0
157,9459.9239,9727.8310,34.6094,-1.1664,38.9202,0
158,9460.3476,9726.8485,34.6062,-1.1679,38.3129,0
159,9460.7630,9725.8806,34.5989,-1.1693,37.7060,0
160,9461.1704,9724.9281,34.5924,-1.1703,37.0781,0
161,9461.5701,9723.9912,34.5885,-1.1710,36.4399,0
162,9461.9618,9723.0704,34.5864,-1.1714,35.7910,0
163,9462.4222,9721.9864,34.5836,-1.1716,35.0453,0
164,9462.8750,9720.9244,34.5772,-1.1715,34.3611,0
165,9463.3212,9719.8808,34.5684,-1.1711,33.7864,0
166,9463.7600,9718.8573,34.5644,-1.1702,33.0806,0
167,9464.1918,9717.8543,34.5643,-1.1692,32.5167,0
168,9464.6183,9716.8663,34.5615,-1.1675,32.0997,0
169,9465.0415,9715.8913,34.5575,-1.1653,31.7226,0
170,9465.4622,9714.9293,34.5537,-1.1627,31.3094,0
171,9465.8801,9713.9822,34.5505,-1.1603,30.8465,0
172,9466.2929,9713.0497,34.5456,-1.1577,30.3896,0
173,9466.6989,9712.1337,34.5400,-1.1554,29.8546,0
174,9467.1667,9711.0859,34.5341,-1.1530,29.2859,0
175,9467.6273,9710.0594,34.5269,-1.1508,28.7029,0
176,9468.0805,9709.0544,34.5192,-1.1488,28.0966,0
177,9468.5259,9708.0716,34.5124,-1.1475,27.5066,0
178,9468.9644,9707.1098,34.5063,-1.1473,26.9550,0
179,9469.3950,9706.1665,34.5008,-1.1473,26.4650,0
180,9469.8180,9705.2413,34.4961,-1.1474,25.9141,0
181,9470.2897,9704.2069,34.4990,-1.1476,25.2979,0
182,9470.7495,9703.1971,34.5029,-1.1480,24.6768,0
183,9471.1991,9702.2116,34.4994,-1.1482,24.1188,0
184,9471.6352,9701.2471,34.4862,-1.1482,23.5374,0
185,9472.0580,9700.3092,34.4822,-1.1488,22.8289,0
186,9472.5214,9699.2880,34.4938,-1.1501,22.1460,0
187,9472.9685,9698.2966,34.4993,-1.1512,21.5284,0
188,9473.4010,9697.3305,34.5034,-1.1523,20.9708,0
189,9473.8215,9696.3905,34.5169,-1.1538,20.3605,0
190,9474.2750,9695.3791,34.5261,-1.1554,19.6774,0
191,9474.7098,9694.4009,34.5310,-1.1567,18.9983,0
192,9475.1220,9693.4555,34.5380,-1.1573,18.2439,0
193,9475.5581,9692.4597,34.5406,-1.1572,17.4567,0
194,9475.9757,9691.5079,34.5430,-1.1552,16.6681,0
195,9476.4117,9690.5176,34.5426,-1.1528,15.8607,0
196,9476.8274,9689.5769,34.5448,-1.1515,15.0194,0
197,9477.2546,9688.6137,34.5452,-1.1514,14.2009,0
198,9477.6838,9687.6368,34.5491,-1.1508,13.2050,0
199,9478.1114,9686.6746,34.5534,-1.1487,12.0833,0
200,9478.5251,9685.7405,34.5562,-1.1455,10.9495,0
201,9478.9463,9684.8021,34.5578,-1.1442,9.7328,0
202,9479.3543,9683.8880,34.5621,-1.1433,8.3673,0
