AID,SLID,ELID
1,8195,8198
2,8199,8202
3,8203,8206
4,8207,8210
5,8211,8214
6,8215,8218
7,8219,8224
8,8225,8228
9,8229,8232
10,8233,8236
11,8237,8240
12,8241,8244
13,8245,8248
14,8249,8252
15,8253,8256
16,8257,8260
17,8261,8264
18,8265,8268
19,8269,8274
20,8275,8278
21,8279,8284
22,8285,8288
23,8289,8292
24,8293,8296
25,8297,8300
26,8301,8304
27,8305,8309
28,8310,8314
29,8315,8319
30,8320,8324
31,8325,8329
32,8330,8334
33,8335,8340
34,8341,8345
35,8346,8350
36,8351,8355
37,8356,8360
38,8361,8364
39,8365,8368
40,8369,8372
41,8373,8380
42,8381,8386
43,8387,8391
44,8392,8396
45,8397,8400
46,8401,8404
47,8405,8410
48,8411,8414
49,8415,8418
50,8419,8422
51,8423,8426
52,8427,8432
53,8433,8437
54,8438,8441
55,8442,8445
56,8446,8449
57,8450,8455
58,8456,8461
59,8462,8465
60,8466,8473
61,8474,8477
62,8478,8481
63,8482,8487
64,8488,8492
65,8493,8496
66,8497,8500
67,8501,8507
68,8508,8514
69,8515,8520
70,8521,8524
71,8525,8528
72,8529,8532
73,8533,8536
74,8537,8540
75,8541,8544
76,8545,8548
77,8549,8552
78,8553,8582
79,8583,8593
80,8594,8802
81,8803,8835
82,8836,8842
83,8843,8893
84,8894,8904
85,8905,8910
86,8911,8943
87,8944,9131
88,9132,9244
89,9245,9264
90,9265,9280
91,9281,9308
92,9309,9341
93,9342,9362
94,9363,9382
95,9383,9412
96,9413,9440
97,9441,9479
98,9480,9495
99,9496,9516
100,9517,9536
101,9537,9556
102,9557,9578
103,9579,9599
104,9600,9619
