ID,AID,Type,BdID,LinkID
12,1,0,0,0
13,2,0,0,0
14,3,0,0,0
8,4,0,0,0
17,5,0,0,0
15,6,0,0,0
20,7,0,0,0
16,8,0,0,0
18,9,0,0,0
36,10,0,0,0
22,11,0,0,0
19,12,0,0,0
21,13,0,0,0
24,14,0,0,0
23,15,0,0,0
28,16,0,0,0
25,17,0,0,0
33,18,0,0,0
26,19,0,0,0
29,20,0,0,0
27,21,0,0,0
32,22,0,0,0
30,23,0,0,0
35,24,0,0,0
31,25,0,0,0
34,26,0,0,0
1,27,0,0,22848
37,28,0,0,22790
38,29,0,0,22782
39,30,0,0,14137
40,31,0,0,0
41,32,0,0,13131
42,33,0,0,22715
43,34,0,0,0
44,35,0,0,28918
45,36,0,0,28673
46,37,0,0,0
47,38,0,0,0
48,39,0,0,0
49,40,0,0,0
50,41,0,0,0
51,42,0,0,0
52,43,0,0,0
53,44,0,0,0
54,45,0,0,0
55,46,0,0,0
56,47,0,0,0
57,48,0,0,0
58,49,0,0,0
59,50,0,0,0
60,51,0,0,0
61,52,0,0,0
62,53,0,0,0
63,54,0,0,0
64,55,0,0,0
65,56,0,0,0
66,57,0,0,0
67,58,0,0,0
68,59,0,0,0
69,60,0,0,0
70,61,0,0,0
71,62,0,0,0
72,63,0,0,0
73,64,0,0,0
74,65,0,0,0
75,66,0,0,0
76,67,0,0,0
77,68,0,0,0
78,69,0,0,0
79,70,0,0,0
80,71,0,0,0
81,72,0,0,0
82,73,0,0,0
83,74,0,0,0
84,75,0,0,0
85,76,0,0,0
86,77,0,0,0
