ID,LID,TLID,SignID,LinkID
302,35,0,25,12147
303,36,0,0,39945
303,36,0,0,39963
357,45,0,0,1522
363,53,0,0,23825
346,72,0,0,13535
158,6,0,0,22697
266,8,0,0,4178
275,12,0,0,24715
285,14,0,0,36151
290,15,0,26,7141
362,25,0,0,39534
362,25,0,0,39542
375,27,0,0,44419
380,32,0,0,12192
381,33,0,1,44750
381,33,0,24,741
380,32,0,23,770
376,34,0,18,1656
379,31,0,21,9949
299,23,0,19,36249
378,26,0,22,37519
377,22,0,20,44574
154,90,1011,0,22230
155,1,1082,0,23045
157,5,1033,0,1629
159,2,2273,0,3460
160,3,1121,0,43855
160,3,1121,0,43850
161,4,1092,0,24292
244,7,1662,0,29779
270,9,1803,0,32667
271,10,1793,0,35935
272,21,1813,0,25926
274,11,1821,0,24767
276,13,1781,0,24805
294,16,1902,0,34752
295,17,1892,0,33133
297,18,2031,0,30879
297,18,2031,0,30880
298,19,2041,0,8100
300,20,2091,0,9197
304,37,1303,0,6788
305,46,1141,0,31333
305,46,1141,0,6700
306,83,1311,0,40126
306,83,1311,0,17363
307,47,1192,0,6916
307,47,1192,0,27319
308,48,1332,0,12295
309,49,1342,0,6836
310,39,1912,0,40024
311,50,1203,0,6896
311,50,1203,0,10275
312,51,1352,0,39719
312,51,1352,0,39818
313,40,1381,0,6648
313,40,1381,0,6629
314,52,1232,0,6928
315,82,1922,0,42010
315,82,1922,0,42066
316,54,2312,0,7026
316,54,2312,0,31608
317,55,1481,0,6398
317,55,1481,0,21986
317,55,1481,0,6459
318,56,1271,0,6596
318,56,1271,0,7028
319,57,1412,0,40164
319,57,1412,0,39628
320,44,1402,0,40182
321,24,2221,0,37254
321,24,2221,0,2886
321,24,2221,0,4100
321,24,2221,0,37281
322,41,1452,0,39837
322,41,1452,0,39856
322,41,1452,0,6553
323,42,1462,0,21951
324,43,1471,0,39882
325,60,1971,0,42204
325,60,1971,0,42271
325,60,1971,0,42245
325,60,1971,0,7318
326,61,2212,0,20
326,61,2212,0,10449
326,61,2212,0,918
327,67,1253,0,42315
327,67,1253,0,25999
327,67,1253,0,32242
328,66,1523,0,27324
328,66,1523,0,25930
329,68,1553,0,36832
329,68,1553,0,43795
329,68,1553,0,22820
330,80,1263,0,43902
332,85,2252,0,31705
333,86,1281,0,27336
334,69,1133,0,1713
335,87,2013,0,37646
336,84,2343,0,42382
337,88,1293,0,42768
337,88,1293,0,4041
338,38,1612,0,38025
339,58,1601,0,31733
340,62,2071,0,10503
340,62,2071,0,11363
341,63,1672,0,11378
342,64,2111,0,13686
343,65,1852,0,31213
344,70,1842,0,11271
345,71,1693,0,19271
345,71,1693,0,32537
347,73,1713,0,31047
348,74,2103,0,10710
349,75,1883,0,10793
350,76,1871,0,10572
350,76,1871,0,10851
351,77,1731,0,10892
351,77,1731,0,10810
352,78,1753,0,10624
353,79,1741,0,11088
353,79,1741,0,9818
354,81,2261,0,5324
355,59,1593,0,32110
356,89,2281,0,20081
356,89,2281,0,1846
356,89,2281,0,21149
372,28,2352,0,44548
373,29,2363,0,44353
374,30,2372,0,44389
